,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUADRO N° 4,,,,Contenido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRODUCCIÓN DE LA INDUSTRIA MANUFACTURERA (IPI-M) BASE: 2015=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SERIE HISTÓRICA DE LA VARIACIÓN ACUMULADA DEL IPI-M, periodo enero 2016 -  septiembre 2020
POR CLASIFICACIÓN NACIONAL DE ACTIVIDADES ECONÓMICAS - CIIU
(Porcentaje)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C11,Elaboración de bebidas.,1.90,-2.92,0.74,0.53,5.33,2.16,9.03,9.52,6.75,-2.60,-4.63,16.27,-22.90,-30.56,-27.37,-32.01,-28.56,-25.18,-24.74,-36.28,-33.08,-29.85,-22.51,-23.61,-20.85,-12.17,-19.28,-6.15,-5.32,-8.69,-23.40,-9.66,-14.29,-11.28,-6.32,3.87,-23.89,-23.52,-16.60,-9.02,-15.07,-24.72,-34.80,-26.94,-33.14,-34.12,-31.34,-15.49,-27.08,-22.00,-47.13,-72.03,-52.72,-19.29,-11.64,-13.26,-0.46
3,C110,Elaboración de bebidas.,1.90,-2.92,0.74,0.53,5.33,2.16,9.03,9.52,6.75,-2.60,-4.63,16.27,-22.90,-30.56,-27.37,-32.01,-28.56,-25.18,-24.74,-36.28,-33.08,-29.85,-22.51,-23.61,-20.85,-12.17,-19.28,-6.15,-5.32,-8.69,-23.40,-9.66,-14.29,-11.28,-6.32,3.87,-23.89,-23.52,-16.60,-9.02,-15.07,-24.72,-34.80,-26.94,-33.14,-34.12,-31.34,-15.49,-27.08,-22.00,-47.13,-72.03,-52.72,-19.29,-11.64,-13.26,-0.46
2,C12,Elaboración de productos de tabaco.,0.00,-18.30,-12.09,-24.08,-59.24,-14.98,0.67,-31.12,-31.12,-31.12,-25.53,-18.21,-25.47,-33.93,-19.14,-17.89,-41.49,-20.55,-26.00,-21.83,-13.81,-16.33,-31.37,-31.75,17.92,-2.30,14.84,13.66,4.01,20.92,18.27,10.49,-10.12,9.46,-20.27,12.68,77.00,16.25,-0.79,-8.03,-7.01,-15.21,-6.12,-13.60,-21.24,-3.47,-13.00,31.33,0.00,0.00,-30.19,-45.33,-45.33,-45.33,-41.15,-46.57,-46.57
3,C120,Elaboración de productos de tabaco.,0.00,-18.30,-12.09,-24.08,-59.24,-14.98,0.67,-31.12,-31.12,-31.12,-25.53,-18.21,-25.47,-33.93,-19.14,-17.89,-41.49,-20.55,-26.00,-21.83,-13.81,-16.33,-31.37,-31.75,17.92,-2.30,14.84,13.66,4.01,20.92,18.27,10.49,-10.12,9.46,-20.27,12.68,77.00,16.25,-0.79,-8.03,-7.01,-15.21,-6.12,-13.60,-21.24,-3.47,-13.00,31.33,0.00,0.00,-30.19,-45.33,-45.33,-45.33,-41.15,-46.57,-46.57
2,C13,Fabricación de productos textiles.,-37.41,-16.32,19.89,29.28,38.90,21.31,8.51,2.88,14.38,19.24,39.16,36.07,-10.59,-4.18,-1.58,-17.95,-27.00,-34.46,-35.35,-31.43,-25.32,-37.05,-13.95,-30.41,-3.45,-2.98,14.50,8.54,16.13,26.89,26.69,23.70,-17.69,-9.98,-18.64,-20.96,-12.16,-0.36,5.64,6.08,4.31,-1.16,13.62,3.58,10.12,14.19,20.31,24.46,10.21,13.42,-2.69,-12.92,22.69,36.06,78.32,75.08,84.25
3,C131,"Hilatura, tejedura y acabados de productos textiles.",-36.20,-10.19,41.54,62.06,57.55,29.78,18.07,1.92,25.39,32.01,59.56,54.64,-10.12,-2.60,7.97,-14.15,-27.32,-36.99,-37.49,-32.57,-26.02,-42.18,-10.71,-32.51,1.18,-1.52,19.91,11.30,15.57,11.14,19.61,22.82,-29.05,-35.63,-36.48,-39.06,-5.12,12.66,14.09,19.04,20.57,16.47,32.82,13.28,18.36,25.73,25.88,21.46,36.43,49.80,37.49,26.48,82.03,102.86,163.29,166.12,180.22
3,C139,Fabricación de otros productos textiles.,-39.92,-29.02,-25.06,-38.78,0.18,3.70,-11.33,4.88,-8.49,-7.27,-3.21,-2.50,-12.14,-9.40,-33.05,-30.49,-25.95,-26.11,-28.27,-27.65,-23.01,-20.15,-24.61,-23.49,-16.89,-7.21,-1.22,0.50,17.77,72.65,47.26,26.23,15.30,64.55,33.21,31.60,-21.64,-17.89,-5.72,-11.37,-17.56,-24.87,-12.21,-9.48,-0.96,-1.35,12.82,28.48,-23.13,-32.86,-53.79,-63.03,-52.78,-48.90,-29.74,-40.69,-37.82
2,C14,Fabricación de prendas de vestir.,-18.40,-36.11,-19.55,7.79,20.51,-27.06,-21.40,-18.24,-28.30,-28.13,-13.91,-11.46,-41.52,-35.92,-27.55,-22.96,-27.92,-31.33,-26.21,-26.37,-28.78,-24.44,-18.31,-9.96,-29.77,-31.43,-13.98,-12.54,-19.66,-33.04,-24.51,9.84,-23.35,-25.76,-24.37,-14.54,-22.74,4.71,53.14,45.49,-4.22,-25.79,-9.73,11.77,-14.74,-18.46,-15.42,15.59,4.21,-8.95,-39.36,-47.13,-42.39,-30.47,-21.59,-23.63,-20.62
3,C141,"Fabricación de prendas de vestir, excepto prendas de piel.",-19.15,-36.60,-24.30,10.04,23.61,-28.00,-21.92,-19.78,-29.23,-25.61,-12.33,-8.15,-41.36,-36.69,-29.65,-24.70,-28.73,-32.59,-27.74,-28.70,-29.67,-24.68,-19.47,-12.93,-27.14,-29.37,-12.47,-10.48,-18.05,-32.13,-24.19,11.99,-25.50,-24.35,-23.70,-12.67,-22.11,5.60,58.68,48.94,-2.07,-25.50,-7.96,13.34,-13.26,-16.89,-12.99,18.16,5.72,-7.68,-38.93,-46.72,-41.53,-29.19,-20.22,-22.85,-20.04
3,C143,Fabricación de artículos de punto y ganchillo.,-9.66,-30.46,35.83,-18.44,-15.76,-16.11,-15.31,-0.25,-17.51,-57.61,-32.34,-50.13,-44.91,-19.37,17.41,14.40,-10.42,-4.26,6.72,23.65,-9.60,-19.36,6.60,53.91,-61.72,-56.52,-32.43,-37.59,-39.29,-44.12,-28.35,-16.25,2.82,-42.92,-32.55,-37.22,-33.42,-10.39,-40.64,-12.76,-40.51,-30.71,-39.69,-14.81,-39.64,-44.91,-56.64,-27.77,-37.52,-44.17,-51.20,-58.53,-66.13,-65.92,-59.39,-45.01,-36.80
2,C15,Fabricación de cueros y productos conexos.,-36.55,8.04,-7.27,-13.91,-5.17,-35.71,-28.10,-24.16,-27.47,-39.55,-33.38,-30.57,-9.63,6.03,17.84,16.95,-7.61,-13.64,-4.67,1.28,-0.60,3.00,28.88,30.91,-45.93,-30.20,3.47,-7.10,16.83,12.88,24.27,18.10,6.08,-3.05,7.79,19.98,-1.38,16.38,10.97,-11.63,11.09,3.55,17.87,14.67,-7.12,1.32,3.77,9.37,-16.81,-2.54,-12.08,-29.38,-16.53,50.82,54.66,67.14,31.23
3,C151,"Curtido y adobo de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería; adobo y teñido de pieles.",-5.26,19.24,-14.42,-48.76,-22.14,-24.98,-25.75,-16.87,-20.62,-11.47,-8.18,-18.05,-14.38,-3.94,7.96,-3.46,-11.00,-16.54,-23.42,-19.26,-23.43,-14.96,7.93,6.80,-19.56,-22.78,27.90,20.03,46.01,10.13,-0.15,-19.39,-7.16,10.32,26.73,66.07,-33.17,-32.09,-12.26,-36.78,-26.85,-53.60,-30.88,-23.52,-36.01,-26.74,-41.60,-55.85,-40.12,-14.18,-26.22,-26.22,-28.74,18.83,70.83,65.35,213.98
3,C152,Fabricación de calzado.,-40.88,6.48,-6.28,-9.08,-2.82,-37.20,-28.43,-25.17,-28.42,-43.44,-36.88,-32.30,-8.83,7.70,19.50,20.37,-7.05,-13.15,-1.52,4.72,3.23,6.02,32.40,34.95,-49.43,-31.19,0.23,-10.71,12.96,13.24,27.51,23.08,7.84,-4.83,5.27,13.86,4.78,25.76,15.47,-6.76,18.44,14.61,27.31,22.06,-1.52,6.76,12.56,22.00,-15.17,-1.72,-11.09,-29.60,-15.67,53.06,53.53,67.27,18.42
2,C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.",-12.23,97.54,131.66,-51.61,48.44,3.96,-13.44,21.12,44.92,34.92,60.47,17.61,-6.38,-19.24,39.11,11.30,36.82,25.40,22.01,25.75,2.29,-0.47,26.38,6.01,-19.57,-7.83,52.53,60.50,74.11,32.51,32.34,17.51,-33.95,-39.73,-37.26,-22.51,-42.07,-38.91,-33.94,-32.52,-32.49,-35.58,-25.72,-29.69,-27.35,-26.06,-19.34,-0.19,6.16,48.57,0.29,-65.39,-48.42,6.95,19.26,16.05,142.02
3,C161,Aserrado y acepilladura de madera.,-60.02,122.01,163.08,-86.57,21.53,-35.87,-63.38,-22.74,43.11,-6.44,34.56,-20.88,-26.00,-24.11,59.96,15.23,48.88,34.42,23.99,37.32,-8.55,-17.81,24.96,15.05,-46.83,-22.94,78.93,80.98,131.07,30.08,31.82,15.08,-78.45,-83.09,-83.09,-83.09,-59.91,-76.89,-76.89,-99.61,-99.61,-99.64,-99.66,-99.22,-99.42,-99.20,-98.78,-98.94,7.60,5.70,-7.52,-14.61,-4.31,-4.38,16.54,13.39,30.27
3,C162,Fabricación de hojas de madera para enchapado y tableros a base de madera.,120.00,29.84,44.74,45.12,122.91,114.16,124.77,142.46,49.94,149.34,132.16,124.13,12.78,-14.48,18.73,7.46,25.04,16.59,20.08,14.44,12.87,16.47,27.76,-2.82,11.95,9.64,22.00,36.81,8.25,35.33,32.94,20.32,17.51,10.42,15.73,47.54,-39.70,-33.87,-28.25,-23.63,-23.59,-27.09,-15.92,-20.48,-17.80,-16.37,-8.81,12.90,6.16,48.63,0.30,-65.45,-48.47,6.96,19.26,16.05,142.16
2,C17,Fabricación de papel y de productos de papel.,2.53,-2.70,-21.84,-9.14,-10.00,-18.60,8.71,-3.87,-42.89,-46.48,-43.94,-46.44,6.07,5.68,12.07,15.06,4.70,3.66,-1.76,0.02,-0.08,4.83,9.54,8.92,-3.59,-12.86,0.31,-5.01,-2.22,-12.28,-14.98,-9.68,-14.10,-13.03,-16.39,-28.78,20.49,0.77,8.55,12.33,8.30,-5.62,-3.47,-5.65,-6.15,-4.33,-9.64,-1.14,3.25,-5.02,-11.47,-19.36,-13.59,-14.97,-12.36,-12.05,-5.29
3,C170,Fabricación de papel y de productos de papel.,2.53,-2.70,-21.84,-9.14,-10.00,-18.60,8.71,-3.87,-42.89,-46.48,-43.94,-46.44,6.07,5.68,12.07,15.06,4.70,3.66,-1.76,0.02,-0.08,4.83,9.54,8.92,-3.59,-12.86,0.31,-5.01,-2.22,-12.28,-14.98,-9.68,-14.10,-13.03,-16.39,-28.78,20.49,0.77,8.55,12.33,8.30,-5.62,-3.47,-5.65,-6.15,-4.33,-9.64,-1.14,3.25,-5.02,-11.47,-19.36,-13.59,-14.97,-12.36,-12.05,-5.29
2,C18,Impresión y reproducción de grabaciones.,-21.13,-19.39,-10.85,-15.24,-10.61,-22.06,-23.70,-16.95,-16.68,-17.84,-20.22,-17.66,-13.59,-15.38,-2.12,-8.01,-8.11,-11.93,-18.69,-16.85,-10.55,-6.29,-2.78,1.61,-18.33,-12.92,0.77,3.77,1.95,-1.57,-8.83,-10.41,-10.02,-3.46,-0.04,-5.04,-12.03,-9.14,-1.57,7.88,14.28,1.43,25.81,55.99,72.23,77.30,135.75,56.47,-15.37,-4.40,-31.24,-67.34,-55.94,-51.48,-47.51,-50.92,-50.78
3,C181,Impresión y actividades de servicios relacionados con la impresión.,-21.13,-19.39,-10.85,-15.24,-10.61,-22.06,-23.70,-16.95,-16.68,-17.84,-20.22,-17.66,-13.59,-15.38,-2.12,-8.01,-8.11,-11.93,-18.69,-16.85,-10.55,-6.29,-2.78,1.61,-18.33,-12.92,0.77,3.77,1.95,-1.57,-8.83,-10.41,-10.02,-3.46,-0.04,-5.04,-12.03,-9.14,-1.57,7.88,14.28,1.43,25.81,55.99,72.23,77.30,135.75,56.47,-15.37,-4.40,-31.24,-67.34,-55.94,-51.48,-47.51,-50.92,-50.78
2,C19,Fabricación de coque y de productos de la refinación del petróleo.,0.00,0.00,-0.54,-1.57,-1.53,1.05,-4.02,-3.72,-3.58,-2.24,-7.15,-3.72,-1.04,-0.51,-3.53,-1.77,-1.69,-2.37,-1.15,-2.70,-3.61,-5.35,-4.04,-5.91,-16.57,-35.66,-18.68,-22.63,-17.74,-20.37,-15.86,-11.67,-23.96,-18.56,-21.51,-22.35,-0.81,-15.76,0.16,-4.74,1.56,-8.53,-1.40,-6.35,-7.16,-12.37,-24.02,-16.04,2.45,-8.85,-13.33,-53.02,-34.02,2.31,6.68,9.32,29.04
3,C192,Fabricación de productos de la refinación del petróleo.,0.00,0.00,-0.54,-1.57,-1.53,1.05,-4.02,-3.72,-3.58,-2.24,-7.15,-3.72,-1.04,-0.51,-3.53,-1.77,-1.69,-2.37,-1.15,-2.70,-3.61,-5.35,-4.04,-5.91,-16.57,-35.66,-18.68,-22.63,-17.74,-20.37,-15.86,-11.67,-23.96,-18.56,-21.51,-22.35,-0.81,-15.76,0.16,-4.74,1.56,-8.53,-1.40,-6.35,-7.16,-12.37,-24.02,-16.04,2.45,-8.85,-13.33,-53.02,-34.02,2.31,6.68,9.32,29.04
2,C20,Fabricación de substancias y productos químicos.,-8.46,-7.75,-6.47,-22.99,-20.26,-15.92,-17.54,-7.23,-8.79,-14.17,-17.43,-12.84,7.45,-4.07,-3.22,-5.34,-3.91,-4.82,-10.66,-5.71,-7.40,-8.57,-16.29,-15.49,9.35,-11.05,-2.39,-7.97,-7.01,-3.68,-4.79,17.74,-3.03,-4.40,-6.97,43.72,24.40,-32.84,-39.83,-29.68,-30.35,-36.45,-28.48,-23.01,-35.82,-32.27,-33.52,-34.14,12.28,-7.31,-8.03,-7.08,-5.69,18.24,18.75,9.23,18.10
3,C201,"Fabricación de sustancias químicas básicas, de abonos y compuestos de nitrógeno y de plásticos y caucho sintético en formas primarias.",-15.24,-15.22,-16.84,-11.66,-27.14,-43.66,-33.37,-22.94,-25.51,-26.52,-18.08,-26.66,10.93,-15.03,-17.71,-13.05,-17.67,-21.77,-20.73,-20.20,-29.96,-26.91,-30.23,-13.67,-10.22,-20.28,-12.34,-18.47,-13.97,-9.98,-7.23,74.47,25.86,20.15,16.74,272.17,42.84,-54.05,-62.59,-67.31,-58.22,-61.58,-58.22,-55.56,-68.11,-62.91,-67.43,-53.68,0.21,-47.82,-51.24,-47.38,-52.30,-23.71,-36.22,-49.10,-40.52
3,C202,Fabricación de otros productos químicos.,-6.13,-5.18,-2.90,-26.89,-17.89,-6.37,-12.09,-1.81,-3.03,-9.92,-17.20,-8.07,6.50,-1.05,0.77,-3.22,-0.12,-0.16,-7.89,-1.73,-1.20,-3.53,-12.45,-15.99,14.88,-8.45,0.42,-5.00,-5.05,-1.90,-4.10,1.71,-11.19,-11.34,-13.66,-20.82,-0.08,-4.66,-9.61,20.30,6.67,-3.09,11.01,20.23,7.06,8.43,11.52,-8.19,20.36,19.84,20.91,19.91,25.54,46.35,55.59,48.31,57.38
2,C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico.",-16.92,21.26,83.11,76.67,34.53,60.21,88.34,96.77,102.95,103.30,71.78,36.99,6.66,31.53,51.66,37.70,42.37,45.61,46.97,39.83,40.55,46.42,33.05,20.93,-4.90,94.28,94.82,21.67,14.24,23.44,-7.12,7.14,-22.45,10.79,5.91,-10.60,14.66,33.13,25.20,26.76,31.37,26.82,35.52,27.83,48.74,18.30,27.32,16.95,25.72,-6.13,14.33,9.97,31.31,52.09,24.43,29.33,20.67
3,C210,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico.",-16.92,21.26,83.11,76.67,34.53,60.21,88.34,96.77,102.95,103.30,71.78,36.99,6.66,31.53,51.66,37.70,42.37,45.61,46.97,39.83,40.55,46.42,33.05,20.93,-4.90,94.28,94.82,21.67,14.24,23.44,-7.12,7.14,-22.45,10.79,5.91,-10.60,14.66,33.13,25.20,26.76,31.37,26.82,35.52,27.83,48.74,18.30,27.32,16.95,25.72,-6.13,14.33,9.97,31.31,52.09,24.43,29.33,20.67
2,C22,Fabricación de productos de caucho y plástico.,-16.95,5.99,2.44,5.07,-0.12,-5.33,-7.16,1.11,0.44,-4.00,0.76,-4.24,-16.54,-16.43,-8.77,-12.71,-10.57,-6.94,-7.02,-5.63,-7.54,-6.84,-7.53,-15.42,4.03,-7.99,3.43,1.82,9.43,0.68,-3.74,4.73,-3.80,5.67,12.66,-6.17,-4.75,-7.02,-12.59,-16.10,-9.36,-14.28,-11.99,-15.57,-13.03,-18.76,-10.88,-9.71,2.30,-1.74,-16.35,-23.87,-12.77,3.69,24.45,9.40,23.43
3,C221,Fabricación de productos de caucho.,-8.88,-12.30,-25.15,-27.18,-10.14,-10.65,-17.81,-23.23,-15.15,-37.32,-20.14,-26.81,-38.86,-17.61,-14.52,-21.22,-10.01,-5.44,3.41,-6.66,0.90,0.53,-12.51,-58.39,120.47,92.11,116.81,110.88,124.35,121.25,109.65,99.05,58.22,66.51,188.08,-8.63,44.55,-15.93,-8.86,-4.35,-9.03,-7.51,-20.90,-41.75,-17.10,-30.92,-21.24,-31.58,37.16,22.41,-21.15,-70.83,-44.86,-1.65,259.09,147.35,382.06
3,C222,Fabricación de productos de plástico.,-19.05,10.75,9.63,13.47,2.49,-3.95,-4.38,7.45,4.50,4.68,6.20,1.64,-12.35,-16.21,-7.70,-11.11,-10.67,-7.22,-8.97,-5.43,-9.13,-8.22,-6.60,-7.36,-5.79,-16.43,-6.13,-7.37,-0.26,-9.49,-13.30,-3.23,-9.02,0.54,-2.12,-5.96,-8.79,-6.29,-12.90,-17.06,-9.39,-14.83,-11.26,-13.43,-12.69,-17.76,-10.03,-7.91,0.18,-3.20,-16.06,-21.01,-10.82,4.02,10.17,1.00,1.61
2,C23,Fabricación de otros productos minerales no metálicos.,4.24,47.29,32.98,12.35,21.99,8.09,19.66,30.33,34.65,31.43,26.88,27.97,-11.50,-16.21,-7.89,-14.90,-7.16,-9.51,-6.61,-2.46,-2.92,0.75,-1.53,-1.58,-7.78,-17.58,-6.67,-9.96,-1.17,-2.28,4.53,17.86,10.59,24.83,21.68,6.86,-10.57,-9.74,-14.55,-5.69,3.86,-13.73,-2.49,-6.75,-11.11,-18.35,-6.17,-1.77,-7.00,-9.64,-25.46,-54.31,155.32,249.40,293.55,272.49,304.43
3,C231,Fabricación de vidrio y productos de vidrio.,-3.73,-10.55,15.37,-8.13,2.22,-4.23,7.47,3.37,9.86,23.54,43.83,41.56,-15.94,-21.13,-21.42,-19.70,-4.49,-6.28,-9.88,-5.25,-4.60,10.79,14.29,10.50,-4.41,-3.39,-0.52,13.66,7.19,-1.61,7.28,8.19,27.11,8.28,31.19,6.63,9.61,-36.67,2.53,7.13,12.89,9.76,-16.62,25.78,27.59,8.55,5.85,102.65,-50.83,-71.74,-72.05,-73.04,-71.29,-57.28,-36.31,-49.54,-37.37
3,C239,Fabricación de productos minerales no metálicos n.c.p.,4.59,49.84,33.76,13.26,22.87,8.63,20.20,31.52,35.74,31.78,26.14,27.37,-11.29,-15.97,-7.23,-14.66,-7.29,-9.67,-6.45,-2.32,-2.84,0.26,-2.31,-2.17,-7.97,-18.37,-7.01,-11.27,-1.64,-2.31,4.38,18.39,9.68,25.74,21.16,6.87,-11.68,-8.25,-15.49,-6.40,3.36,-15.03,-1.71,-8.55,-13.24,-19.84,-6.84,-7.54,-1.69,-2.12,-19.82,-52.05,182.77,286.55,333.50,311.50,345.83
