,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUADRO N° 2,,,,Contenido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ÍNDICE DE PRODUCCIÓN DE LA INDUSTRIA MANUFACTURERA (IPI-M) BASE: 2015=100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SERIE HISTÓRICA DE LA VARIACIÓN MENSUAL DEL IPI-M, periodo enero 2016 -  septiembre 2020
POR CLASIFICACIÓN NACIONAL DE ACTIVIDADES ECONÓMICAS - CIIU
(Porcentaje)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C11,Elaboración de bebidas.,1.90,-4.73,3.77,-0.21,4.78,-3.02,6.73,0.45,-2.53,-8.76,-2.08,21.91,-22.90,-9.93,4.60,-6.39,5.07,4.73,0.59,-15.33,5.02,4.83,10.47,-1.42,-20.85,10.96,-8.10,16.27,0.89,-3.56,-16.10,17.93,-5.12,3.51,5.59,10.88,-23.89,0.48,9.06,9.09,-6.66,-11.35,-13.40,12.07,-8.50,-1.46,4.21,23.08,-27.08,6.97,-32.22,-47.10,69.02,70.72,9.48,-1.83,14.76
3,C110,Elaboración de bebidas.,1.90,-4.73,3.77,-0.21,4.78,-3.02,6.73,0.45,-2.53,-8.76,-2.08,21.91,-22.90,-9.93,4.60,-6.39,5.07,4.73,0.59,-15.33,5.02,4.83,10.47,-1.42,-20.85,10.96,-8.10,16.27,0.89,-3.56,-16.10,17.93,-5.12,3.51,5.59,10.88,-23.89,0.48,9.06,9.09,-6.66,-11.35,-13.40,12.07,-8.50,-1.46,4.21,23.08,-27.08,6.97,-32.22,-47.10,69.02,70.72,9.48,-1.83,14.76
2,C12,Elaboración de productos de tabaco.,0.00,-18.30,7.59,-13.63,-46.31,108.57,18.40,-31.58,0.00,0.00,8.11,9.83,-25.47,-11.34,22.38,1.54,-28.74,35.79,-6.86,5.63,10.26,-2.92,-17.97,-0.55,17.92,-17.15,17.54,-1.03,-8.49,16.26,-2.19,-6.58,-18.65,21.78,-27.16,41.33,77.00,-34.32,-14.66,-7.30,1.11,-8.82,10.72,-7.96,-8.85,22.56,-9.87,50.95,0.00,0.00,-30.19,-21.69,0.00,0.00,7.64,-9.20,0.00
3,C120,Elaboración de productos de tabaco.,0.00,-18.30,7.59,-13.63,-46.31,108.57,18.40,-31.58,0.00,0.00,8.11,9.83,-25.47,-11.34,22.38,1.54,-28.74,35.79,-6.86,5.63,10.26,-2.92,-17.97,-0.55,17.92,-17.15,17.54,-1.03,-8.49,16.26,-2.19,-6.58,-18.65,21.78,-27.16,41.33,77.00,-34.32,-14.66,-7.30,1.11,-8.82,10.72,-7.96,-8.85,22.56,-9.87,50.95,0.00,0.00,-30.19,-21.69,0.00,0.00,7.64,-9.20,0.00
2,C13,Fabricación de productos textiles.,-37.41,33.70,43.26,7.83,7.44,-12.67,-10.54,-5.19,11.17,4.25,16.70,-2.22,-10.59,7.17,2.71,-16.63,-11.02,-10.22,-1.35,6.06,8.90,-15.70,36.69,-19.13,-3.45,0.49,18.01,-5.21,7.00,9.27,-0.16,-2.36,-33.46,9.37,-9.62,-2.86,-12.16,13.43,6.03,0.41,-1.66,-5.24,14.95,-8.84,6.32,3.69,5.36,3.44,10.21,2.91,-14.20,-10.52,40.90,10.90,31.06,-1.81,5.23
3,C131,"Hilatura, tejedura y acabados de productos textiles.",-36.20,40.77,57.60,14.50,-2.79,-17.62,-9.02,-13.68,23.03,5.28,20.87,-3.08,-10.12,8.37,10.85,-20.48,-15.34,-13.31,-0.79,7.87,9.72,-21.84,54.42,-24.42,1.18,-2.67,21.76,-7.18,3.83,-3.83,7.62,2.69,-42.23,-9.28,-1.32,-4.05,-5.12,18.74,1.27,4.34,1.28,-3.40,14.04,-14.71,4.48,6.23,0.12,-3.51,36.43,9.80,-8.22,-8.01,43.92,11.45,29.79,1.07,5.30
3,C139,Fabricación de otros productos textiles.,-39.92,18.13,5.59,-18.31,63.65,3.51,-14.50,18.29,-12.75,1.33,4.37,0.73,-12.14,3.12,-26.10,3.82,6.54,-0.22,-2.93,0.87,6.41,3.72,-5.59,1.48,-16.89,11.65,6.46,1.74,17.18,46.61,-14.71,-14.28,-8.65,42.71,-19.05,-1.21,-21.64,4.78,14.81,-5.99,-6.99,-8.87,16.85,3.11,9.41,-0.39,14.36,13.88,-23.13,-12.66,-31.17,-20.01,27.74,8.21,37.48,-15.58,4.85
2,C14,Fabricación de prendas de vestir.,-18.40,-21.71,25.92,33.99,11.80,-39.48,7.77,4.02,-12.31,0.24,19.79,2.84,-41.52,9.58,13.05,6.35,-6.44,-4.74,7.46,-0.22,-3.27,6.09,8.11,10.23,-29.77,-2.36,25.44,1.67,-8.14,-16.65,12.74,45.51,-30.22,-3.14,1.87,13.00,-22.74,35.53,46.25,-4.99,-34.17,-22.52,21.63,23.82,-23.72,-4.36,3.72,36.68,4.21,-12.63,-33.40,-12.82,8.98,20.68,12.78,-2.60,3.94
3,C141,"Fabricación de prendas de vestir, excepto prendas de piel.",-19.15,-21.58,19.40,45.35,12.34,-41.76,8.44,2.74,-11.78,5.12,17.85,4.77,-41.36,7.97,11.12,7.04,-5.36,-5.42,7.20,-1.33,-1.37,7.10,6.91,8.13,-27.14,-3.05,23.92,2.27,-8.45,-17.18,11.69,47.73,-33.48,1.55,0.86,14.45,-22.11,35.58,50.26,-6.14,-34.25,-23.92,23.53,23.15,-23.48,-4.18,4.70,35.79,5.72,-12.67,-33.85,-12.76,9.75,21.10,12.67,-3.30,3.65
3,C143,Fabricación de artículos de punto y ganchillo.,-9.66,-23.03,95.33,-39.95,3.28,-0.42,0.96,17.78,-17.30,-48.62,59.63,-26.29,-44.91,46.37,45.62,-2.57,-21.69,6.88,11.46,15.87,-26.89,-10.80,32.18,44.39,-61.72,13.61,55.40,-7.64,-2.73,-7.95,28.22,16.88,22.78,-44.49,18.18,-6.93,-33.42,34.59,-33.75,46.96,-31.80,16.46,-12.95,41.24,-29.15,-8.73,-21.29,66.59,-37.52,-10.64,-12.59,-15.00,-18.35,0.64,19.15,35.40,14.94
2,C15,Fabricación de cueros y productos conexos.,-36.55,70.26,-14.17,-7.16,10.15,-32.21,11.84,5.49,-4.37,-16.65,10.19,4.23,-9.63,17.33,11.14,-0.76,-21.00,-6.52,10.38,6.24,-1.85,3.63,25.12,1.57,-45.93,29.09,48.25,-10.22,25.77,-3.39,10.09,-4.96,-10.17,-8.61,11.18,11.31,-1.38,18.00,-4.65,-20.37,25.72,-6.80,13.83,-2.72,-19.00,9.09,2.41,5.40,-16.81,17.15,-9.80,-19.67,18.20,80.68,2.55,8.07,-21.49
3,C151,"Curtido y adobo de cueros; fabricación de maletas, bolsos de mano y artículos de talabartería y guarnicionería; adobo y teñido de pieles.",-5.26,25.86,-28.23,-40.12,51.96,-3.65,-1.03,11.96,-4.51,11.54,3.71,-10.74,-14.38,12.19,12.39,-10.58,-7.81,-6.22,-8.25,5.44,-5.17,11.06,26.92,-1.05,-19.56,-4.00,65.62,-6.16,21.64,-24.57,-9.33,-19.27,15.16,18.83,14.87,31.04,-33.17,1.61,29.20,-27.95,15.72,-36.57,48.96,10.64,-16.33,14.50,-20.29,-24.39,-40.12,43.32,-14.02,0.00,-3.43,66.76,43.77,-3.21,89.88
3,C152,Fabricación de calzado.,-40.88,80.12,-11.98,-2.99,6.88,-35.38,13.97,4.56,-4.34,-20.98,11.60,7.25,-8.83,18.14,10.95,0.73,-22.78,-6.56,13.38,6.34,-1.43,2.70,24.88,1.93,-49.43,36.08,45.66,-10.91,26.50,0.25,12.60,-3.48,-12.38,-11.75,10.61,8.16,4.78,20.03,-8.19,-19.25,27.03,-3.23,11.08,-4.12,-19.32,8.41,5.43,8.39,-15.17,15.86,-9.54,-20.82,19.79,81.51,0.30,8.95,-29.20
2,C16,"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables.",-12.23,125.08,17.27,-79.11,206.76,-29.97,-16.73,39.92,19.66,-6.91,18.94,-26.71,-6.38,-13.73,72.24,-19.99,22.93,-8.35,-2.70,3.06,-18.66,-2.70,26.97,-16.12,-19.57,14.59,65.49,5.22,8.48,-23.89,-0.13,-11.20,-43.79,-8.75,4.09,23.52,-42.07,5.46,8.13,2.15,0.05,-4.58,15.30,-5.35,3.33,1.77,9.09,23.74,6.16,39.95,-32.50,-65.49,49.05,107.33,11.51,-2.69,108.55
3,C161,Aserrado y acepilladura de madera.,-60.02,455.35,18.50,-94.89,804.62,-47.23,-42.90,111.01,85.22,-34.62,43.82,-41.20,-26.00,2.56,110.78,-27.96,29.20,-9.71,-7.76,10.75,-33.40,-10.13,52.04,-7.93,-46.83,44.93,132.19,1.15,27.67,-43.71,1.34,-12.70,-81.27,-21.55,0.00,0.00,-59.91,-42.35,0.00,-98.30,0.00,-7.15,-5.54,125.11,-25.27,38.42,51.57,-12.87,7.60,-1.76,-12.51,-7.67,12.07,-0.07,21.87,-2.70,14.88
3,C162,Fabricación de hojas de madera para enchapado y tableros a base de madera.,120.00,-40.98,11.48,0.26,53.60,-3.92,4.95,7.87,-38.16,66.29,-6.89,-3.46,12.78,-24.17,38.84,-9.49,16.36,-6.76,2.99,-4.69,-1.37,3.19,9.70,-23.94,11.95,-2.07,11.28,12.13,-20.88,25.02,-1.77,-9.49,-2.33,-6.04,4.81,27.49,-39.70,9.67,8.50,6.44,0.05,-4.58,15.32,-5.42,3.37,1.74,9.04,23.81,6.16,40.00,-32.52,-65.56,49.16,107.58,11.50,-2.69,108.66
2,C17,Fabricación de papel y de productos de papel.,2.53,-5.10,-19.66,16.24,-0.94,-9.56,33.55,-11.57,-40.59,-6.28,4.73,-4.45,6.07,-0.37,6.04,2.67,-9.00,-1.00,-5.23,1.82,-0.10,4.91,4.49,-0.56,-3.59,-9.62,15.12,-5.30,2.94,-10.28,-3.09,6.24,-4.90,1.25,-3.86,-14.81,20.49,-16.37,7.72,3.49,-3.59,-12.85,2.28,-2.26,-0.53,1.95,-5.55,9.41,3.25,-8.01,-6.79,-8.91,7.15,-1.60,3.07,0.36,7.68
3,C170,Fabricación de papel y de productos de papel.,2.53,-5.10,-19.66,16.24,-0.94,-9.56,33.55,-11.57,-40.59,-6.28,4.73,-4.45,6.07,-0.37,6.04,2.67,-9.00,-1.00,-5.23,1.82,-0.10,4.91,4.49,-0.56,-3.59,-9.62,15.12,-5.30,2.94,-10.28,-3.09,6.24,-4.90,1.25,-3.86,-14.81,20.49,-16.37,7.72,3.49,-3.59,-12.85,2.28,-2.26,-0.53,1.95,-5.55,9.41,3.25,-8.01,-6.79,-8.91,7.15,-1.60,3.07,0.36,7.68
2,C18,Impresión y reproducción de grabaciones.,-21.13,2.20,10.59,-4.93,5.47,-12.80,-2.11,8.85,0.32,-1.40,-2.89,3.20,-13.59,-2.07,15.67,-6.01,-0.11,-4.15,-7.67,2.25,7.59,4.76,3.74,4.52,-18.33,6.62,15.73,2.98,-1.76,-3.46,-7.37,-1.74,0.44,7.29,3.54,-5.00,-12.03,3.28,8.33,9.60,5.93,-11.25,24.04,23.99,10.41,2.95,32.97,-33.63,-15.37,12.96,-28.07,-52.50,34.88,10.14,8.18,-6.50,0.28
3,C181,Impresión y actividades de servicios relacionados con la impresión.,-21.13,2.20,10.59,-4.93,5.47,-12.80,-2.11,8.85,0.32,-1.40,-2.89,3.20,-13.59,-2.07,15.67,-6.01,-0.11,-4.15,-7.67,2.25,7.59,4.76,3.74,4.52,-18.33,6.62,15.73,2.98,-1.76,-3.46,-7.37,-1.74,0.44,7.29,3.54,-5.00,-12.03,3.28,8.33,9.60,5.93,-11.25,24.04,23.99,10.41,2.95,32.97,-33.63,-15.37,12.96,-28.07,-52.50,34.88,10.14,8.18,-6.50,0.28
2,C19,Fabricación de coque y de productos de la refinación del petróleo.,0.00,0.00,-0.54,-1.04,0.04,2.63,-5.02,0.32,0.14,1.39,-5.02,3.69,-1.04,0.53,-3.03,1.83,0.07,-0.69,1.25,-1.57,-0.93,-1.80,1.38,-1.95,-16.57,-22.88,26.40,-4.86,6.32,-3.20,5.67,4.97,-13.91,7.11,-3.63,-1.07,-0.81,-15.08,18.90,-4.89,6.61,-9.93,7.79,-5.01,-0.86,-5.62,-13.29,10.50,2.45,-11.03,-4.91,-45.79,40.44,55.05,4.27,2.48,18.03
3,C192,Fabricación de productos de la refinación del petróleo.,0.00,0.00,-0.54,-1.04,0.04,2.63,-5.02,0.32,0.14,1.39,-5.02,3.69,-1.04,0.53,-3.03,1.83,0.07,-0.69,1.25,-1.57,-0.93,-1.80,1.38,-1.95,-16.57,-22.88,26.40,-4.86,6.32,-3.20,5.67,4.97,-13.91,7.11,-3.63,-1.07,-0.81,-15.08,18.90,-4.89,6.61,-9.93,7.79,-5.01,-0.86,-5.62,-13.29,10.50,2.45,-11.03,-4.91,-45.79,40.44,55.05,4.27,2.48,18.03
2,C20,Fabricación de substancias y productos químicos.,-8.46,0.77,1.39,-17.66,3.54,5.44,-1.93,12.51,-1.69,-5.90,-3.79,5.56,7.45,-10.72,0.88,-2.19,1.52,-0.95,-6.13,5.54,-1.79,-1.26,-8.43,0.95,9.35,-18.66,9.74,-5.72,1.04,3.58,-1.15,23.67,-17.64,-1.41,-2.68,54.48,24.40,-46.01,-10.42,16.88,-0.95,-8.77,12.55,7.66,-16.65,5.54,-1.84,-0.94,12.28,-17.44,-0.78,1.03,1.50,25.37,0.44,-8.02,8.12
3,C201,"Fabricación de sustancias químicas básicas, de abonos y compuestos de nitrógeno y de plásticos y caucho sintético en formas primarias.",-15.24,0.02,-1.91,6.23,-17.52,-22.67,18.25,15.65,-3.33,-1.35,11.48,-10.48,10.93,-23.40,-3.16,5.67,-5.32,-4.98,1.34,0.67,-12.24,4.37,-4.54,23.74,-10.22,-11.20,9.96,-7.00,5.53,4.63,3.06,88.06,-27.86,-4.53,-2.84,218.81,42.84,-67.83,-18.58,-12.62,27.79,-8.03,8.75,6.36,-28.25,16.31,-12.17,42.19,0.21,-47.93,-6.56,7.91,-9.35,59.94,-16.39,-20.19,16.84
3,C202,Fabricación de otros productos químicos.,-6.13,1.01,2.40,-24.71,12.31,14.04,-6.11,11.69,-1.24,-7.10,-8.08,11.02,6.50,-7.09,1.84,-3.96,3.20,-0.04,-7.74,6.69,0.54,-2.36,-9.24,-4.04,14.88,-20.30,9.69,-5.40,-0.05,3.31,-2.24,6.07,-12.69,-0.16,-2.62,-8.29,-0.08,-4.59,-5.19,33.09,-11.32,-9.15,14.54,8.31,-10.95,1.28,2.85,-17.67,20.36,-0.44,0.90,-0.83,4.69,16.57,6.31,-4.68,6.12
2,C21,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico.",-16.92,45.96,51.00,-3.52,-23.85,19.09,17.55,4.48,3.14,0.17,-15.51,-20.25,6.66,23.32,15.30,-9.20,3.39,2.27,0.94,-4.86,0.52,4.18,-9.13,-9.11,-4.90,104.29,0.28,-37.55,-6.11,8.06,-24.76,15.35,-27.61,42.85,-4.40,-15.59,14.66,16.11,-5.95,1.24,3.64,-3.46,6.86,-5.68,16.36,-20.47,7.63,-8.14,25.72,-25.33,21.80,-3.81,19.41,15.83,-18.19,3.94,-6.70
3,C210,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico.",-16.92,45.96,51.00,-3.52,-23.85,19.09,17.55,4.48,3.14,0.17,-15.51,-20.25,6.66,23.32,15.30,-9.20,3.39,2.27,0.94,-4.86,0.52,4.18,-9.13,-9.11,-4.90,104.29,0.28,-37.55,-6.11,8.06,-24.76,15.35,-27.61,42.85,-4.40,-15.59,14.66,16.11,-5.95,1.24,3.64,-3.46,6.86,-5.68,16.36,-20.47,7.63,-8.14,25.72,-25.33,21.80,-3.81,19.41,15.83,-18.19,3.94,-6.70
2,C22,Fabricación de productos de caucho y plástico.,-16.95,27.62,-3.35,2.57,-4.94,-5.22,-1.93,8.91,-0.67,-4.41,4.95,-4.96,-16.54,0.13,9.16,-4.31,2.45,4.06,-0.09,1.50,-2.03,0.76,-0.74,-8.53,4.03,-11.55,12.41,-1.55,7.47,-8.00,-4.39,8.80,-8.14,9.84,6.61,-16.72,-4.75,-2.38,-6.00,-4.02,8.04,-5.43,2.68,-4.08,3.02,-6.59,9.70,1.32,2.30,-3.95,-14.87,-8.99,14.58,18.87,20.02,-12.10,12.83
3,C221,Fabricación de productos de caucho.,-8.88,-3.75,-14.66,-2.71,23.41,-0.57,-8.02,-6.59,10.53,-26.13,27.41,-8.36,-38.86,34.75,3.76,-7.84,14.23,5.08,9.35,-9.74,8.10,-0.37,-12.97,-52.44,120.47,-12.86,12.86,-2.73,6.39,-1.38,-5.24,-5.06,-20.51,5.24,73.00,-68.28,44.55,-41.84,8.41,4.95,-4.89,1.67,-14.48,-26.36,42.31,-16.67,14.01,-13.12,37.16,-10.75,-35.58,-63.00,89.02,78.37,265.11,-31.12,94.89
3,C222,Fabricación de productos de plástico.,-19.05,36.82,-1.01,3.51,-9.68,-6.28,-0.45,12.38,-2.75,0.18,1.45,-4.30,-12.35,-4.40,10.16,-3.70,0.49,3.87,-1.89,3.89,-3.91,0.99,1.77,-0.82,-5.79,-11.29,12.32,-1.32,7.67,-9.25,-4.21,11.62,-5.99,10.52,-2.65,-3.92,-8.79,2.74,-7.06,-4.78,9.26,-6.01,4.20,-2.45,0.85,-5.80,9.40,2.35,0.18,-3.38,-13.28,-5.90,12.91,16.63,5.92,-8.33,0.60
2,C23,Fabricación de otros productos minerales no metálicos.,4.24,41.30,-9.72,-15.51,8.58,-11.40,10.71,8.92,3.31,-2.39,-3.46,0.85,-11.50,-5.32,9.93,-7.60,9.09,-2.54,3.21,4.45,-0.47,3.78,-2.26,-0.05,-7.78,-10.63,13.24,-3.53,9.76,-1.12,6.97,12.75,-6.17,12.87,-2.52,-12.19,-10.57,0.93,-5.33,10.36,10.13,-16.94,13.03,-4.37,-4.67,-8.15,14.92,4.69,-7.00,-2.85,-17.51,-38.71,458.86,36.85,12.64,-5.35,8.58
3,C231,Fabricación de vidrio y productos de vidrio.,-3.73,-7.09,28.98,-20.37,11.27,-6.32,12.22,-3.81,6.27,12.45,16.42,-1.58,-15.94,-6.18,-0.37,2.19,18.95,-1.88,-3.84,5.14,0.69,16.12,3.17,-3.32,-4.41,1.07,2.97,14.25,-5.70,-8.21,9.04,0.85,17.49,-14.82,21.16,-18.72,9.61,-42.22,61.90,4.49,5.38,-2.77,-24.04,50.87,1.44,-14.92,-2.48,91.45,-50.83,-42.53,-1.09,-3.55,6.50,48.79,49.10,-20.78,24.12
3,C239,Fabricación de productos minerales no metálicos n.c.p.,4.59,43.27,-10.74,-15.33,8.48,-11.58,10.65,9.42,3.21,-2.92,-4.28,0.98,-11.29,-5.28,10.40,-8.01,8.64,-2.57,3.57,4.41,-0.53,3.19,-2.56,0.14,-7.97,-11.30,13.91,-4.58,10.86,-0.69,6.85,13.42,-7.36,14.65,-3.65,-11.79,-11.68,3.89,-7.89,10.76,10.43,-17.79,15.67,-6.96,-5.13,-7.60,16.22,-0.76,-1.69,-0.44,-18.08,-40.19,489.66,36.70,12.15,-5.08,8.34
2,C24,Fabricación de metales comunes.,5.91,3.05,-6.37,24.97,0.93,-1.69,-11.51,12.82,2.56,26.22,-16.17,15.11,-13.67,-15.05,10.37,-13.24,8.15,13.25,9.75,-16.86,16.70,20.21,-8.05,-10.34,2.19,-2.92,5.42,-11.46,-0.86,17.46,-7.85,12.93,-6.65,8.88,-6.30,-2.33,5.66,5.94,-3.19,-1.83,-14.81,-6.29,9.41,-6.24,-10.81,11.51,-3.56,-5.62,14.62,16.33,-3.08,-9.14,3.68,29.96,4.39,9.33,-14.57
3,C241,Industrias básicas de hierro y acero.,2.13,-1.44,-18.09,64.24,1.88,-8.74,-9.08,-4.53,5.65,41.46,-25.08,9.79,-11.01,-25.31,-1.59,-7.22,5.61,15.21,0.45,2.54,-1.56,7.78,-11.06,11.35,-11.36,8.34,-5.09,-3.72,-4.28,14.12,-1.16,-9.75,7.88,-0.87,10.53,5.51,1.49,34.95,-8.20,-0.11,-28.42,-20.75,5.93,-8.49,-4.58,7.54,-7.83,27.02,9.43,57.62,-5.18,-15.79,11.31,40.87,0.66,18.43,-25.92
